GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "44000","Rhode Island",1,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",3741845,4092971,4336596,4721967,5044554,5288914,5742437,6272443,6864937,7531162,8362745,9393441,10455116,11258544,12185542,13361043,14402385,15441352,16481698,18222995,19829194,20430364,20648278,21572585,22483684,23050675,24278996,25113199,26554301,28349718,29581071,31875284,33611758,34965677,36700205,38541514,39241318,41162032,42935212,43768605,42764925,44973874,46685369,48186451,48187015,50045148,51775192,52514454,54704265,56918930,60336968,64969688,69014438,70450412,74045761
 "44000","Rhode Island",1,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",2788531,2991811,3122479,3410065,3581961,3642022,3790127,4229358,4656033,5140796,5699435,6207564,6661130,7033522,7650648,8451413,9224968,10003242,10883201,12002799,12729689,12987181,12744553,13508354,13993395,14492074,15168443,15681189,16560106,17971377,19193863,20820116,21806736,22930780,24151082,25527057,26029791,27204576,27700155,27333665,26308476,27872035,29028378,30199944,30376028,31086779,32236459,32714168,33971006,35443772,37647320,38292865,40983786,43718105,45355812
 "44000","Rhode Island",1,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",347206,423015,496661,545627,624674,733593,971929,994536,1041509,1112354,1235934,1430831,1636137,1795913,1914368,1966925,2088337,2172436,2237118,2398219,2613229,2889760,3511041,3660912,3972957,3950944,4169950,4252887,4516328,4565554,4745474,4922222,5504910,5744226,5904767,6298216,6548823,6786038,7436311,8261558,8963434,9534245,9617874,9489685,9631850,10363708,10551987,10572697,10899596,11160483,11722374,15690601,16829021,14612855,15213827
 "44000","Rhode Island",1,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",33024,47192,59057,64654,67712,87951,102443,110500,111000,118669,126133,161075,181436,167411,177180,179526,188250,197311,198986,212891,230395,264680,310383,344665,371227,390160,414400,424434,404034,439563,443278,458876,471113,497499,516653,533319,574920,575481,730143,730120,865722,989806,1037805,1071765,1142114,1109408,992768,1006333,994989,986849,1043006,1108863,1429721,1770572,1158199
 "44000","Rhode Island",1,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",19079,38712,53066,51382,47968,65502,182643,124553,106734,88310,85048,98438,97866,138267,123176,79833,83377,74470,78167,82637,110724,178359,281198,334468,289733,225283,205524,189740,160859,149892,154419,150495,186711,257698,260944,213929,204009,201383,234282,345245,704960,705861,605382,491527,332992,191617,167467,159010,157776,149183,146716,2268986,1471142,133094,183159
 "44000","Rhode Island",1,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",295103,337111,384538,429591,508994,580140,686843,759483,823775,905375,1024753,1171318,1356835,1490235,1614012,1707566,1816710,1900655,1959965,2102691,2272110,2446721,2919460,2981779,3311997,3335501,3550026,3638713,3951435,3976099,4147777,4312851,4847086,4989029,5127170,5550968,5769894,6009174,6471886,7186193,7392752,7838578,7974687,7926393,8156744,9062683,9391752,9407354,9746831,10024451,10532652,12312752,13928158,12709189,13872469
 "44000","Rhode Island",1,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",606108,678145,717456,766275,837919,913299,980381,1048549,1167395,1278012,1427376,1755046,2157849,2429109,2620526,2942705,3089080,3265674,3361379,3821977,4486276,4553423,4392684,4403319,4517332,4607657,4940603,5179123,5477867,5812787,5641734,6132946,6300112,6290671,6644356,6716241,6662704,7171418,7798746,8173382,7493015,7567594,8039117,8496822,8179137,8594661,8986746,9227589,9833663,10314675,10967274,10986222,11201631,12119452,13476122
 "44000","Rhode Island",1,CAINC30,100,"..."," Population (persons) 3/","Number of persons",932000,950561,963974,976365,978010,953503,946339,950321,955128,957237,956643,948773,953012,954170,956382,961895,968956,977340,989605,996407,1000666,1005995,1010649,1012581,1015112,1015960,1017002,1020893,1025353,1031155,1040402,1050268,1057142,1065995,1071342,1074579,1067916,1063096,1057315,1055003,1053646,1054954,1058647,1063602,1068168,1073041,1077348,1082251,1084914,1091751,1094524,1096444,1097092,1093842,1095962
 "44000","Rhode Island",1,CAINC30,110,"..."," Per capita personal income 4/","Dollars",4015,4306,4499,4836,5158,5547,6068,6600,7187,7868,8742,9901,10971,11799,12741,13890,14864,15799,16655,18289,19816,20309,20431,21305,22149,22689,23873,24599,25898,27493,28432,30350,31795,32801,34256,35867,36746,38719,40608,41487,40588,42631,44099,45305,45112,46639,48058,48523,50423,52135,55126,59255,62907,64406,67562
 "44000","Rhode Island",1,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2992,3147,3239,3493,3662,3820,4005,4450,4875,5370,5958,6543,6990,7371,8000,8786,9521,10235,10998,12046,12721,12910,12610,13341,13785,14264,14915,15360,16151,17428,18449,19824,20628,21511,22543,23755,24374,25590,26199,25909,24969,26420,27420,28394,28438,28971,29922,30228,31312,32465,34396,34925,37357,39967,41384
